 keyword	Units	Component	Description	Internal
IMP_FY_RP_1	N	Reference points	Lateral force at reference point	VARIABLE
IMP_FY_RP_2	N	Reference points	Lateral force at reference point	VARIABLE
IMP_FY_RP_3	N	Reference points	Lateral force at reference point	VARIABLE
IMP_FY_RP_4	N	Reference points	Lateral force at reference point	VARIABLE
IMP_FY_RP_5	N	Reference points	Lateral force at reference point	VARIABLE
IMP_FZ0_L1I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_L2I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_L3I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_L4I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_L5I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_L6I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_R1I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_R2I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_R3I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_R4I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_R5I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZ0_R6I	N	Tires	Vertical force at wheel center from tire(s)	VARIABLE
IMP_FZEXA1	N	Suspensions	User-defined [sz] force at axle 1 from the sprung mass	0
IMP_FZEXA2	N	Suspensions	User-defined [sz] force at axle 2 from the sprung mass	0
IMP_FZEXA3	N	Suspensions	User-defined [sz] force at axle 3 from the sprung mass	0
IMP_FZEXA4	N	Suspensions	User-defined [sz] force at axle 4 from the sprung mass	0
IMP_FZEXA5	N	Suspensions	User-defined [sz] force at axle 5 from the sprung mass	0
IMP_FZEXA6	N	Suspensions	User-defined [sz] force at axle 6 from the sprung mass	0
IMP_FZGEXA1	N	Suspensions	User-defined [nz] force at axle 1 from the inertial reference N	0
IMP_FZGEXA2	N	Suspensions	User-defined [nz] force at axle 2 from the inertial reference N	0
IMP_FZGEXA3	N	Suspensions	User-defined [nz] force at axle 3 from the inertial reference N	0
IMP_FZGEXA4	N	Suspensions	User-defined [nz] force at axle 4 from the inertial reference N	0
IMP_FZGEXA5	N	Suspensions	User-defined [nz] force at axle 5 from the inertial reference N	0
IMP_FZGEXA6	N	Suspensions	User-defined [nz] force at axle 6 from the inertial reference N	0
IMP_FZ_AERO_S1	N	Aerodynamics	Z component of aerodynamic force at the aero reference point, unit 1	VARIABLE
IMP_FZ_AERO_S2	N	Aerodynamics	Z component of aerodynamic force at the aero reference point, unit 2	VARIABLE
IMP_FZ_L1I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L1O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L2I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L2O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L3I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L3O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L4I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L4O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L5I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L5O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L6I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_L6O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R1I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R1O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R2I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R2O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R3I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R3O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R4I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R4O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R5I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R5O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R6I	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_R6O	N	Tires	Vertical force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FZ_RP_1	N	Reference points	Vertical force at reference point	VARIABLE
IMP_FZ_RP_2	N	Reference points	Vertical force at reference point	VARIABLE
IMP_FZ_RP_3	N	Reference points	Vertical force at reference point	VARIABLE
IMP_FZ_RP_4	N	Reference points	Vertical force at reference point	VARIABLE
IMP_FZ_RP_5	N	Reference points	Vertical force at reference point	VARIABLE
IMP_F_AUX_EXT_CTR1	N	Suspensions	Ext. aux spring force at axle 1 center	0
IMP_F_AUX_EXT_CTR2	N	Suspensions	Ext. aux spring force at axle 2 center	0
IMP_F_AUX_EXT_CTR3	N	Suspensions	Ext. aux spring force at axle 3 center	0
IMP_F_AUX_EXT_CTR4	N	Suspensions	Ext. aux spring force at axle 4 center	0
IMP_F_AUX_EXT_CTR5	N	Suspensions	Ext. aux spring force at axle 5 center	0
IMP_F_AUX_EXT_CTR6	N	Suspensions	Ext. aux spring force at axle 6 center	0
IMP_F_AUX_EXT_L1	N	Suspensions	Ext. aux spring force at wheel center L1	0
IMP_F_AUX_EXT_L2	N	Suspensions	Ext. aux spring force at wheel center L2	0
IMP_F_AUX_EXT_L3	N	Suspensions	Ext. aux spring force at wheel center L3	0
IMP_F_AUX_EXT_L4	N	Suspensions	Ext. aux spring force at wheel center L4	0
IMP_F_AUX_EXT_L5	N	Suspensions	Ext. aux spring force at wheel center L5	0
IMP_F_AUX_EXT_L6	N	Suspensions	Ext. aux spring force at wheel center L6	0
IMP_F_AUX_EXT_R1	N	Suspensions	Ext. aux spring force at wheel center R1	0
IMP_F_AUX_EXT_R2	N	Suspensions	Ext. aux spring force at wheel center R2	0
IMP_F_AUX_EXT_R3	N	Suspensions	Ext. aux spring force at wheel center R3	0
IMP_F_AUX_EXT_R4	N	Suspensions	Ext. aux spring force at wheel center R4	0
IMP_F_AUX_EXT_R5	N	Suspensions	Ext. aux spring force at wheel center R5	0
IMP_F_AUX_EXT_R6	N	Suspensions	Ext. aux spring force at wheel center R6	0
IMP_F_BOOST_EXT	N	Steering	Steering rack boost force (applies to internal steer model only)	VARIABLE
IMP_F_JNC_STOP_L1	N	Suspensions	Jounce-stop force L1	VARIABLE
IMP_F_JNC_STOP_L2	N	Suspensions	Jounce-stop force L2	VARIABLE
IMP_F_JNC_STOP_L3	N	Suspensions	Jounce-stop force L3	VARIABLE
IMP_F_JNC_STOP_L4	N	Suspensions	Jounce-stop force L4	VARIABLE
IMP_F_JNC_STOP_L5	N	Suspensions	Jounce-stop force L5	VARIABLE
IMP_F_JNC_STOP_L6	N	Suspensions	Jounce-stop force L6	VARIABLE
IMP_F_JNC_STOP_R1	N	Suspensions	Jounce-stop force R1	VARIABLE
IMP_F_JNC_STOP_R2	N	Suspensions	Jounce-stop force R2	VARIABLE
IMP_F_JNC_STOP_R3	N	Suspensions	Jounce-stop force R3	VARIABLE
IMP_F_JNC_STOP_R4	N	Suspensions	Jounce-stop force R4	VARIABLE
IMP_F_JNC_STOP_R5	N	Suspensions	Jounce-stop force R5	VARIABLE
IMP_F_JNC_STOP_R6	N	Suspensions	Jounce-stop force R6	VARIABLE
IMP_F_REB_STOP_L1	N	Suspensions	Rebound-stop force L1	VARIABLE
IMP_F_REB_STOP_L2	N	Suspensions	Rebound-stop force L2	VARIABLE
IMP_F_REB_STOP_L3	N	Suspensions	Rebound-stop force L3	VARIABLE
IMP_F_REB_STOP_L4	N	Suspensions	Rebound-stop force L4	VARIABLE
IMP_F_REB_STOP_L5	N	Suspensions	Rebound-stop force L5	VARIABLE
IMP_F_REB_STOP_L6	N	Suspensions	Rebound-stop force L6	VARIABLE
IMP_F_REB_STOP_R1	N	Suspensions	Rebound-stop force R1	VARIABLE
IMP_F_REB_STOP_R2	N	Suspensions	Rebound-stop force R2	VARIABLE
IMP_F_REB_STOP_R3	N	Suspensions	Rebound-stop force R3	VARIABLE
IMP_F_REB_STOP_R4	N	Suspensions	Rebound-stop force R4	VARIABLE
IMP_F_REB_STOP_R5	N	Suspensions	Rebound-stop force R5	VARIABLE
IMP_F_REB_STOP_R6	N	Suspensions	Rebound-stop force R6	VARIABLE
IMP_F_TIEROD_L1	N	Steering	Force on rack at tie rod L1, from external model	VARIABLE
IMP_F_TIEROD_L2	N	Steering	Force on rack at tie rod L2, from external model	VARIABLE
IMP_F_TIEROD_L3	N	Steering	Force on rack at tie rod L3, from external model	VARIABLE
IMP_F_TIEROD_L4	N	Steering	Force on rack at tie rod L4, from external model	VARIABLE
IMP_F_TIEROD_L5	N	Steering	Force on rack at tie rod L5, from external model	VARIABLE
IMP_F_TIEROD_L6	N	Steering	Force on rack at tie rod L6, from external model	VARIABLE
IMP_F_TIEROD_R1	N	Steering	Force on rack at tie rod R1, from external model	VARIABLE
IMP_F_TIEROD_R2	N	Steering	Force on rack at tie rod R2, from external model	VARIABLE
IMP_F_TIEROD_R3	N	Steering	Force on rack at tie rod R3, from external model	VARIABLE
IMP_F_TIEROD_R4	N	Steering	Force on rack at tie rod R4, from external model	VARIABLE
IMP_F_TIEROD_R5	N	Steering	Force on rack at tie rod R5, from external model	VARIABLE
IMP_F_TIEROD_R6	N	Steering	Force on rack at tie rod R6, from external model	VARIABLE
IMP_HEAD_OBJ_1	deg	Targets	Heading angle, object 1	0
IMP_HEAD_OBJ_10	deg	Targets	Heading angle, object 10	0
IMP_HEAD_OBJ_2	deg	Targets	Heading angle, object 2	0
IMP_HEAD_OBJ_3	deg	Targets	Heading angle, object 3	0
IMP_HEAD_OBJ_4	deg	Targets	Heading angle, object 4	0
IMP_HEAD_OBJ_5	deg	Targets	Heading angle, object 5	0
IMP_HEAD_OBJ_6	deg	Targets	Heading angle, object 6	0
IMP_HEAD_OBJ_7	deg	Targets	Heading angle, object 7	0
IMP_HEAD_OBJ_8	deg	Targets	Heading angle, object 8	0
IMP_HEAD_OBJ_9	deg	Targets	Heading angle, object 9	0
IMP_HYBRID_MODE	-	Powertrain	HEV/EV control mode: 0->brake, 1->motor, 2->engine, 3-> engine + motor	VARIABLE
IMP_IENG	kg-m2	Powertrain	Combined spin inertia of engine crankshaft and torque converter input shaft	0
IMP_LAT_OBJ_1	m	Targets	Lateral offset, object 1	VARIABLE
IMP_LAT_OBJ_10	m	Targets	Lateral offset, object 10	VARIABLE
IMP_LAT_OBJ_2	m	Targets	Lateral offset, object 2	VARIABLE
IMP_LAT_OBJ_3	m	Targets	Lateral offset, object 3	VARIABLE
IMP_LAT_OBJ_4	m	Targets	Lateral offset, object 4	VARIABLE
IMP_LAT_OBJ_5	m	Targets	Lateral offset, object 5	VARIABLE
IMP_LAT_OBJ_6	m	Targets	Lateral offset, object 6	VARIABLE
IMP_LAT_OBJ_7	m	Targets	Lateral offset, object 7	VARIABLE
IMP_LAT_OBJ_8	m	Targets	Lateral offset, object 8	VARIABLE
IMP_LAT_OBJ_9	m	Targets	Lateral offset, object 9	VARIABLE
IMP_MENGINE	N-m	Powertrain	Engine torque applied to crankshaft from pistons	VARIABLE
IMP_MENGINE_ESC_REQUEST	N-m	Powertrain	Engine torque requested by ESC/TCS	0
IMP_MHX1	N-m	Hitch	Roll moment, hitch 1	VARIABLE
IMP_MHY1	N-m	Hitch	Pitch moment, hitch 1	VARIABLE
IMP_MHZ1	N-m	Hitch	Articulation moment, hitch 1	VARIABLE
IMP_MODE_TRANS	-	Powertrain	Transmission controller mode : -1->reverse, 0->neutral, 1->open - loop     gear selection, 2 - 18->closed - loop limit(maximum gear available)	0
IMP_MSG_OBJ_1	-	Targets	Msg code of object 1	0
IMP_MSG_OBJ_10	-	Targets	Msg code of object 10	0
IMP_MSG_OBJ_2	-	Targets	Msg code of object 2	0
IMP_MSG_OBJ_3	-	Targets	Msg code of object 3	0
IMP_MSG_OBJ_4	-	Targets	Msg code of object 4	0
IMP_MSG_OBJ_5	-	Targets	Msg code of object 5	0
IMP_MSG_OBJ_6	-	Targets	Msg code of object 6	0
IMP_MSG_OBJ_7	-	Targets	Msg code of object 7	0
IMP_MSG_OBJ_8	-	Targets	Msg code of object 8	0
IMP_MSG_OBJ_9	-	Targets	Msg code of object 9	0
IMP_MUX_L1I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L1O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L2I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L2O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L3I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L3O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L4I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L4O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L5I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L5O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L6I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L6O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R1I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R1O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R2I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R2O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R3I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R3O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R4I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R4O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R5I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R5O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R6I	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R6O	-	Tires	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUY_L1I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L1O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L2I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L2O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L3I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L3O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L4I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L4O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L5I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L5O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L6I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L6O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R1I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R1O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R2I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R2O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R3I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R3O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R4I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R4O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R5I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R5O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R6I	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R6O	-	Tires	Ground lateral friction at the tire CTC	VARIABLE
IMP_MX0_L1I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_L2I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_L3I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_L4I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_L5I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_L6I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_R1I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_R2I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_R3I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_R4I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_R5I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MX0_R6I	N-m	Tires	Roll moment at wheel center from tire(s)	VARIABLE
IMP_MXEXA1	N-m	Suspensions	User-defined [sx] moment at axle 1 from the sprung mass	0
IMP_MXEXA2	N-m	Suspensions	User-defined [sx] moment at axle 2 from the sprung mass	0
IMP_MXEXA3	N-m	Suspensions	User-defined [sx] moment at axle 3 from the sprung mass	0
IMP_MXEXA4	N-m	Suspensions	User-defined [sx] moment at axle 4 from the sprung mass	0
IMP_MXEXA5	N-m	Suspensions	User-defined [sx] moment at axle 5 from the sprung mass	0
IMP_MXEXA6	N-m	Suspensions	User-defined [sx] moment at axle 6 from the sprung mass	0
IMP_MXGEXA1	N-m	Suspensions	User-defined [nx] moment at axle 1 from the inertial reference N	0
IMP_MXGEXA2	N-m	Suspensions	User-defined [nx] moment at axle 2 from the inertial reference N	0
IMP_MXGEXA3	N-m	Suspensions	User-defined [nx] moment at axle 3 from the inertial reference N	0
IMP_MXGEXA4	N-m	Suspensions	User-defined [nx] moment at axle 4 from the inertial reference N	0
IMP_MXGEXA5	N-m	Suspensions	User-defined [nx] moment at axle 5 from the inertial reference N	0
IMP_MXGEXA6	N-m	Suspensions	User-defined [nx] moment at axle 6 from the inertial reference N	0
IMP_MXGEXT	N-m	Sprung mass	User-defined [nx] moment on sprung mass from inertial reference frame	0
IMP_MXGEXT2	N-m	Sprung mass	User-defined [nx] moment on unit 2 sprung mass from inertial reference frame	0
IMP_MXGEXTC	N-m	Suspended cab	User-defined [nx] moment on cab from inertial reference frame	0
IMP_MX_A1	N-m	Suspensions	Auxiliary roll moment for axle 1	VARIABLE
IMP_MX_A2	N-m	Suspensions	Auxiliary roll moment for axle 2	VARIABLE
IMP_MX_A3	N-m	Suspensions	Auxiliary roll moment for axle 3	VARIABLE
IMP_MX_A4	N-m	Suspensions	Auxiliary roll moment for axle 4	VARIABLE
IMP_MX_A5	N-m	Suspensions	Auxiliary roll moment for axle 5	VARIABLE
IMP_MX_A6	N-m	Suspensions	Auxiliary roll moment for axle 6	VARIABLE
IMP_MX_AERO_S1	N-m	Aerodynamics	X component of aerodynamic moment, unit 1	VARIABLE
IMP_MX_AERO_S2	N-m	Aerodynamics	X component of aerodynamic moment, unit 2	VARIABLE
IMP_MX_EXT	N-m	Sprung mass	User-defined [sx] moment on sprung mass from inertial reference frame	0
IMP_MX_EXT2	N-m	Sprung mass	User-defined [sx] moment on unit 2 sprung mass from inertial reference frame	0
IMP_MX_EXTC	N-m	Suspended cab	User-defined [sx] moment on cab from inertial reference frame	0
IMP_MX_L1I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L1O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L2I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L2O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L3I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L3O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L4I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L4O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L5I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L5O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L6I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_L6O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R1I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R1O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R2I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R2O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R3I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R3O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R4I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R4O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R5I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R5O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R6I	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MX_R6O	N-m	Tires	Overturning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY0_L1I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_L2I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_L3I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_L4I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_L5I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_L6I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_R1I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_R2I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_R3I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_R4I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_R5I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MY0_R6I	N-m	Tires	Spin moment at wheel center from tire(s)	VARIABLE
IMP_MYBK_L1	N-m	Brakes	Brake moment L1	VARIABLE
IMP_MYBK_L2	N-m	Brakes	Brake moment L2	VARIABLE
IMP_MYBK_L3	N-m	Brakes	Brake moment L3	VARIABLE
IMP_MYBK_L4	N-m	Brakes	Brake moment L4	VARIABLE
IMP_MYBK_L5	N-m	Brakes	Brake moment L5	VARIABLE
IMP_MYBK_L6	N-m	Brakes	Brake moment L6	VARIABLE
IMP_MYBK_R1	N-m	Brakes	Brake moment R1	VARIABLE
IMP_MYBK_R2	N-m	Brakes	Brake moment R2	VARIABLE
IMP_MYBK_R3	N-m	Brakes	Brake moment R3	VARIABLE
IMP_MYBK_R4	N-m	Brakes	Brake moment R4	VARIABLE
IMP_MYBK_R5	N-m	Brakes	Brake moment R5	VARIABLE
IMP_MYBK_R6	N-m	Brakes	Brake moment R6	VARIABLE
IMP_MYEXA1	N-m	Suspensions	User-defined [sy] moment at axle 1 from the sprung mass	0
IMP_MYEXA2	N-m	Suspensions	User-defined [sy] moment at axle 2 from the sprung mass	0
IMP_MYEXA3	N-m	Suspensions	User-defined [sy] moment at axle 3 from the sprung mass	0
IMP_MYEXA4	N-m	Suspensions	User-defined [sy] moment at axle 4 from the sprung mass	0
IMP_MYEXA5	N-m	Suspensions	User-defined [sy] moment at axle 5 from the sprung mass	0
IMP_MYEXA6	N-m	Suspensions	User-defined [sy] moment at axle 6 from the sprung mass	0
IMP_MYGEXA1	N-m	Suspensions	User-defined [ny] moment at axle 1 from the inertial reference N	0
IMP_MYGEXA2	N-m	Suspensions	User-defined [ny] moment at axle 2 from the inertial reference N	0
IMP_MYGEXA3	N-m	Suspensions	User-defined [ny] moment at axle 3 from the inertial reference N	0
IMP_MYGEXA4	N-m	Suspensions	User-defined [ny] moment at axle 4 from the inertial reference N	0
IMP_MYGEXA5	N-m	Suspensions	User-defined [ny] moment at axle 5 from the inertial reference N	0
IMP_MYGEXA6	N-m	Suspensions	User-defined [ny] moment at axle 6 from the inertial reference N	0
IMP_MYGEXT	N-m	Sprung mass	User-defined [ny] moment on sprung mass from inertial reference frame	0
IMP_MYGEXT2	N-m	Sprung mass	User-defined [ny] moment on unit 2 sprung mass from inertial reference frame	0
IMP_MYGEXTC	N-m	Suspended cab	User-defined [ny] moment on cab from inertial reference frame	0
IMP_MYSM_L1	N-m	Powertrain	Ext. moment applied from sprung mass to wheel L1	0
IMP_MYSM_L2	N-m	Powertrain	Ext. moment applied from sprung mass to wheel L2	0
IMP_MYSM_L3	N-m	Powertrain	Ext. moment applied from sprung mass to wheel L3	0
IMP_MYSM_L4	N-m	Powertrain	Ext. moment applied from sprung mass to wheel L4	0
IMP_MYSM_L5	N-m	Powertrain	Ext. moment applied from sprung mass to wheel L5	0
IMP_MYSM_L6	N-m	Powertrain	Ext. moment applied from sprung mass to wheel L6	0
IMP_MYSM_R1	N-m	Powertrain	Ext. moment applied from sprung mass to wheel R1	0
IMP_MYSM_R2	N-m	Powertrain	Ext. moment applied from sprung mass to wheel R2	0
IMP_MYSM_R3	N-m	Powertrain	Ext. moment applied from sprung mass to wheel R3	0
