 Keyword	Units	Type	Component	Legend Label
FJSt_L4	N	Force	Suspensions	Jounce-stop force L4	Jounce stop L4
FJSt_R1	N	Force	Suspensions	Jounce-stop force R1	Jounce stop R1
FJSt_R2	N	Force	Suspensions	Jounce-stop force R2	Jounce stop R2
FJSt_R3	N	Force	Suspensions	Jounce-stop force R3	Jounce stop R3
FJSt_R4	N	Force	Suspensions	Jounce-stop force R4	Jounce stop R4
FRSt_L1	N	Force	Suspensions	Rebound-stop force L1	Rebound stop L1
FRSt_L2	N	Force	Suspensions	Rebound-stop force L2	Rebound stop L2
FRSt_L3	N	Force	Suspensions	Rebound-stop force L3	Rebound stop L3
FRSt_L4	N	Force	Suspensions	Rebound-stop force L4	Rebound stop L4
FRSt_R1	N	Force	Suspensions	Rebound-stop force R1	Rebound stop R1
FRSt_R2	N	Force	Suspensions	Rebound-stop force R2	Rebound stop R2
FRSt_R3	N	Force	Suspensions	Rebound-stop force R3	Rebound stop R3
FRSt_R4	N	Force	Suspensions	Rebound-stop force R4	Rebound stop R4
FsExt_L1	N	Force	Suspensions	Ext. spring force L1 (comp.)	Ext. spring L1 (comp.)
FsExt_L2	N	Force	Suspensions	Ext. spring force L2 (comp.)	Ext. spring L2 (comp.)
FsExt_L3	N	Force	Suspensions	Ext. spring force L3 (comp.)	Ext. spring L3 (comp.)
FsExt_L4	N	Force	Suspensions	Ext. spring force L4 (comp.)	Ext. spring L4 (comp.)
FsExt_R1	N	Force	Suspensions	Ext. spring force R1 (comp.)	Ext. spring R1 (comp.)
FsExt_R2	N	Force	Suspensions	Ext. spring force R2 (comp.)	Ext. spring R2 (comp.)
FsExt_R3	N	Force	Suspensions	Ext. spring force R3 (comp.)	Ext. spring R3 (comp.)
FsExt_R4	N	Force	Suspensions	Ext. spring force R4 (comp.)	Ext. spring R4 (comp.)
FsTnd_1	N	Moment	Suspensions	Load transfer, tandem 1	Tandem 1
Fs_L1	N	Force	Suspensions	Spring force L1 (comp.)	Spring L1 (comp.)
Fs_L2	N	Force	Suspensions	Spring force L2 (comp.)	Spring L2 (comp.)
Fs_L3	N	Force	Suspensions	Spring force L3 (comp.)	Spring L3 (comp.)
Fs_L4	N	Force	Suspensions	Spring force L4 (comp.)	Spring L4 (comp.)
Fs_R1	N	Force	Suspensions	Spring force R1 (comp.)	Spring R1 (comp.)
Fs_R2	N	Force	Suspensions	Spring force R2 (comp.)	Spring R2 (comp.)
Fs_R3	N	Force	Suspensions	Spring force R3 (comp.)	Spring R3 (comp.)
Fs_R4	N	Force	Suspensions	Spring force R4 (comp.)	Spring R4 (comp.)
FullStep	-	Boolean	Time	Integrator full-step status	Integrator full-step status
FxExA1	N	Force	External actions	External Fx, axle 1	Axle 1
FxExA2	N	Force	External actions	External Fx, axle 2	Axle 2
FxExA3	N	Force	External actions	External Fx, axle 3	Axle 3
FxExA4	N	Force	External actions	External Fx, axle 4	Axle 4
FxGExA1	N	Force	External actions	External FxG, axle 1	Axle 1
FxGExA2	N	Force	External actions	External FxG, axle 2	Axle 2
FxGExA3	N	Force	External actions	External FxG, axle 3	Axle 3
FxGExA4	N	Force	External actions	External FxG, axle 4	Axle 4
Fx_A1	N	Force	Tires	Longitudinal tire force, axle 1	Axle 1 longitudinal tire force
Fx_A2	N	Force	Tires	Longitudinal tire force, axle 2	Axle 2 longitudinal tire force
Fx_A3	N	Force	Tires	Longitudinal tire force, axle 3	Axle 3 longitudinal tire force
Fx_A4	N	Force	Tires	Longitudinal tire force, axle 4	Axle 4 longitudinal tire force
Fx_Air	N	Force	Aerodynamics	Aero Fx, unit 1	Aero Fx, unit 1
Fx_Air_2	N	Force	Aerodynamics	Aero Fx, unit 2	Aero Fx, unit 2
Fx_H	N	Force	Hitch	Hitch X force on unit 2	Hitch X force on unit 2
Fx_L1	N	Force	Tires	Longitudinal force, wheel L1	Wheel L1 longitudinal
Fx_L1i	N	Force	Tires	Longitudinal force, tire L1i	Tire L1i longitudinal
Fx_L1o	N	Force	Tires	Longitudinal force, tire L1o	Tire L1o longitudinal
Fx_L2	N	Force	Tires	Longitudinal force, wheel L2	Wheel L2 longitudinal
Fx_L2i	N	Force	Tires	Longitudinal force, tire L2i	Tire L2i longitudinal
Fx_L2o	N	Force	Tires	Longitudinal force, tire L2o	Tire L2o longitudinal
Fx_L3	N	Force	Tires	Longitudinal force, wheel L3	Wheel L3 longitudinal
Fx_L3i	N	Force	Tires	Longitudinal force, tire L3i	Tire L3i longitudinal
Fx_L3o	N	Force	Tires	Longitudinal force, tire L3o	Tire L3o longitudinal
Fx_L4	N	Force	Tires	Longitudinal force, wheel L4	Wheel L4 longitudinal
Fx_L4i	N	Force	Tires	Longitudinal force, tire L4i	Tire L4i longitudinal
Fx_L4o	N	Force	Tires	Longitudinal force, tire L4o	Tire L4o longitudinal
Fx_R1	N	Force	Tires	Longitudinal force, wheel R1	Wheel R1 longitudinal
Fx_R1i	N	Force	Tires	Longitudinal force, tire R1i	Tire R1i longitudinal
Fx_R1o	N	Force	Tires	Longitudinal force, tire R1o	Tire R1o longitudinal
Fx_R2	N	Force	Tires	Longitudinal force, wheel R2	Wheel R2 longitudinal
Fx_R2i	N	Force	Tires	Longitudinal force, tire R2i	Tire R2i longitudinal
Fx_R2o	N	Force	Tires	Longitudinal force, tire R2o	Tire R2o longitudinal
Fx_R3	N	Force	Tires	Longitudinal force, wheel R3	Wheel R3 longitudinal
Fx_R3i	N	Force	Tires	Longitudinal force, tire R3i	Tire R3i longitudinal
Fx_R3o	N	Force	Tires	Longitudinal force, tire R3o	Tire R3o longitudinal
Fx_R4	N	Force	Tires	Longitudinal force, wheel R4	Wheel R4 longitudinal
Fx_R4i	N	Force	Tires	Longitudinal force, tire R4i	Tire R4i longitudinal
Fx_R4o	N	Force	Tires	Longitudinal force, tire R4o	Tire R4o longitudinal
Fx_WC_L1	N	Force	Wheels	Tire Fx at wheel center L1	Tire Fx at wheel center L1
Fx_WC_L2	N	Force	Wheels	Tire Fx at wheel center L2	Tire Fx at wheel center L2
Fx_WC_L3	N	Force	Wheels	Tire Fx at wheel center L3	Tire Fx at wheel center L3
Fx_WC_L4	N	Force	Wheels	Tire Fx at wheel center L4	Tire Fx at wheel center L4
Fx_WC_R1	N	Force	Wheels	Tire Fx at wheel center R1	Tire Fx at wheel center R1
Fx_WC_R2	N	Force	Wheels	Tire Fx at wheel center R2	Tire Fx at wheel center R2
Fx_WC_R3	N	Force	Wheels	Tire Fx at wheel center R3	Tire Fx at wheel center R3
Fx_WC_R4	N	Force	Wheels	Tire Fx at wheel center R4	Tire Fx at wheel center R4
FyExA1	N	Force	External actions	External Fy, axle 1	Axle 1
FyExA2	N	Force	External actions	External Fy, axle 2	Axle 2
FyExA3	N	Force	External actions	External Fy, axle 3	Axle 3
FyExA4	N	Force	External actions	External Fy, axle 4	Axle 4
FyGExA1	N	Force	External actions	External FyG, axle 1	Axle 1
FyGExA2	N	Force	External actions	External FyG, axle 2	Axle 2
FyGExA3	N	Force	External actions	External FyG, axle 3	Axle 3
FyGExA4	N	Force	External actions	External FyG, axle 4	Axle 4
Fy_A1	N	Force	Tires	Lateral tire force, axle 1	Axle 1 lateral tire force
Fy_A2	N	Force	Tires	Lateral tire force, axle 2	Axle 2 lateral tire force
Fy_A3	N	Force	Tires	Lateral tire force, axle 3	Axle 3 lateral tire force
Fy_A4	N	Force	Tires	Lateral tire force, axle 4	Axle 4 lateral tire force
Fy_Air	N	Force	Aerodynamics	Aero Fy, unit 1	Aero Fy, unit 1
Fy_Air_2	N	Force	Aerodynamics	Aero Fy, unit 2	Aero Fy, unit 2
Fy_H	N	Force	Hitch	Hitch Y force on unit 2	Hitch Y force on unit 2
Fy_L1	N	Force	Tires	Lateral force, wheel L1	Wheel L1 lateral
Fy_L1i	N	Force	Tires	Lateral force, tire L1i	Tire L1i lateral
Fy_L1o	N	Force	Tires	Lateral force, tire L1o	Tire L1o lateral
Fy_L2	N	Force	Tires	Lateral force, wheel L2	Wheel L2 lateral
Fy_L2i	N	Force	Tires	Lateral force, tire L2i	Tire L2i lateral
Fy_L2o	N	Force	Tires	Lateral force, tire L2o	Tire L2o lateral
Fy_L3	N	Force	Tires	Lateral force, wheel L3	Wheel L3 lateral
Fy_L3i	N	Force	Tires	Lateral force, tire L3i	Tire L3i lateral
Fy_L3o	N	Force	Tires	Lateral force, tire L3o	Tire L3o lateral
Fy_L4	N	Force	Tires	Lateral force, wheel L4	Wheel L4 lateral
Fy_L4i	N	Force	Tires	Lateral force, tire L4i	Tire L4i lateral
Fy_L4o	N	Force	Tires	Lateral force, tire L4o	Tire L4o lateral
Fy_R1	N	Force	Tires	Lateral force, wheel R1	Wheel R1 lateral
Fy_R1i	N	Force	Tires	Lateral force, tire R1i	Tire R1i lateral
Fy_R1o	N	Force	Tires	Lateral force, tire R1o	Tire R1o lateral
Fy_R2	N	Force	Tires	Lateral force, wheel R2	Wheel R2 lateral
Fy_R2i	N	Force	Tires	Lateral force, tire R2i	Tire R2i lateral
Fy_R2o	N	Force	Tires	Lateral force, tire R2o	Tire R2o lateral
Fy_R3	N	Force	Tires	Lateral force, wheel R3	Wheel R3 lateral
Fy_R3i	N	Force	Tires	Lateral force, tire R3i	Tire R3i lateral
Fy_R3o	N	Force	Tires	Lateral force, tire R3o	Tire R3o lateral
Fy_R4	N	Force	Tires	Lateral force, wheel R4	Wheel R4 lateral
Fy_R4i	N	Force	Tires	Lateral force, tire R4i	Tire R4i lateral
Fy_R4o	N	Force	Tires	Lateral force, tire R4o	Tire R4o lateral
Fy_WC_L1	N	Force	Wheels	Tire Fy at wheel center L1	Tire Fy at wheel center L1
Fy_WC_L2	N	Force	Wheels	Tire Fy at wheel center L2	Tire Fy at wheel center L2
Fy_WC_L3	N	Force	Wheels	Tire Fy at wheel center L3	Tire Fy at wheel center L3
Fy_WC_L4	N	Force	Wheels	Tire Fy at wheel center L4	Tire Fy at wheel center L4
Fy_WC_R1	N	Force	Wheels	Tire Fy at wheel center R1	Tire Fy at wheel center R1
Fy_WC_R2	N	Force	Wheels	Tire Fy at wheel center R2	Tire Fy at wheel center R2
Fy_WC_R3	N	Force	Wheels	Tire Fy at wheel center R3	Tire Fy at wheel center R3
Fy_WC_R4	N	Force	Wheels	Tire Fy at wheel center R4	Tire Fy at wheel center R4
FzExA1	N	Force	External actions	External Fz, axle 1	Axle 1
FzExA2	N	Force	External actions	External Fz, axle 2	Axle 2
FzExA3	N	Force	External actions	External Fz, axle 3	Axle 3
FzExA4	N	Force	External actions	External Fz, axle 4	Axle 4
FzGExA1	N	Force	External actions	External FzG, axle 1	Axle 1
FzGExA2	N	Force	External actions	External FzG, axle 2	Axle 2
FzGExA3	N	Force	External actions	External FzG, axle 3	Axle 3
FzGExA4	N	Force	External actions	External FzG, axle 4	Axle 4
Fz_A1	N	Force	Tires	Vertical tire force, axle 1	Axle 1 vertical tire force
Fz_A2	N	Force	Tires	Vertical tire force, axle 2	Axle 2 vertical tire force
Fz_A3	N	Force	Tires	Vertical tire force, axle 3	Axle 3 vertical tire force
Fz_A4	N	Force	Tires	Vertical tire force, axle 4	Axle 4 vertical tire force
Fz_Air	N	Force	Aerodynamics	Aero Fz, unit 1	Aero Fz, unit 1
Fz_Air_2	N	Force	Aerodynamics	Aero Fz, unit 2	Aero Fz, unit 2
Fz_H	N	Force	Hitch	Hitch Z force on unit 2	Hitch Z force on unit 2
Fz_L1	N	Force	Tires	Vertical force, wheel L1	Wheel L1 vertical
Fz_L1i	N	Force	Tires	Vertical force, tire L1i	Tire L1i vertical
Fz_L1o	N	Force	Tires	Vertical force, tire L1o	Tire L1o vertical
Fz_L2	N	Force	Tires	Vertical force, wheel L2	Wheel L2 vertical
Fz_L2i	N	Force	Tires	Vertical force, tire L2i	Tire L2i vertical
Fz_L2o	N	Force	Tires	Vertical force, tire L2o	Tire L2o vertical
Fz_L3	N	Force	Tires	Vertical force, wheel L3	Wheel L3 vertical
Fz_L3i	N	Force	Tires	Vertical force, tire L3i	Tire L3i vertical
Fz_L3o	N	Force	Tires	Vertical force, tire L3o	Tire L3o vertical
Fz_L4	N	Force	Tires	Vertical force, wheel L4	Wheel L4 vertical
Fz_L4i	N	Force	Tires	Vertical force, tire L4i	Tire L4i vertical
Fz_L4o	N	Force	Tires	Vertical force, tire L4o	Tire L4o vertical
Fz_R1	N	Force	Tires	Vertical force, wheel R1	Wheel R1 vertical
Fz_R1i	N	Force	Tires	Vertical force, tire R1i	Tire R1i vertical
Fz_R1o	N	Force	Tires	Vertical force, tire R1o	Tire R1o vertical
Fz_R2	N	Force	Tires	Vertical force, wheel R2	Wheel R2 vertical
Fz_R2i	N	Force	Tires	Vertical force, tire R2i	Tire R2i vertical
Fz_R2o	N	Force	Tires	Vertical force, tire R2o	Tire R2o vertical
Fz_R3	N	Force	Tires	Vertical force, wheel R3	Wheel R3 vertical
Fz_R3i	N	Force	Tires	Vertical force, tire R3i	Tire R3i vertical
Fz_R3o	N	Force	Tires	Vertical force, tire R3o	Tire R3o vertical
Fz_R4	N	Force	Tires	Vertical force, wheel R4	Wheel R4 vertical
Fz_R4i	N	Force	Tires	Vertical force, tire R4i	Tire R4i vertical
Fz_R4o	N	Force	Tires	Vertical force, tire R4o	Tire R4o vertical
Fz_WC_L1	N	Force	Wheels	Tire Fz at wheel center L1	Tire Fz at wheel center L1
Fz_WC_L2	N	Force	Wheels	Tire Fz at wheel center L2	Tire Fz at wheel center L2
Fz_WC_L3	N	Force	Wheels	Tire Fz at wheel center L3	Tire Fz at wheel center L3
Fz_WC_L4	N	Force	Wheels	Tire Fz at wheel center L4	Tire Fz at wheel center L4
Fz_WC_R1	N	Force	Wheels	Tire Fz at wheel center R1	Tire Fz at wheel center R1
Fz_WC_R2	N	Force	Wheels	Tire Fz at wheel center R2	Tire Fz at wheel center R2
Fz_WC_R3	N	Force	Wheels	Tire Fz at wheel center R3	Tire Fz at wheel center R3
Fz_WC_R4	N	Force	Wheels	Tire Fz at wheel center R4	Tire Fz at wheel center R4
F_boost	N	Force	Steering	Steering boost force	Power steering
f_mod	Hz	f_mod	VS Commands	Frequency of piston firing	f_mod
F_Pedal	N	Force	Brakes	Brake pedal force	Brake Pedal
F_TRdL1	N	Force	Steering	Rack load from tierod L1	Tierod L1 rack load
F_TRdL2	N	Force	Steering	Rack load from tierod L2	Tierod L2 rack load
F_TRdL3	N	Force	Steering	Rack load from tierod L3	Tierod L3 rack load
F_TRdL4	N	Force	Steering	Rack load from tierod L4	Tierod L4 rack load
F_TRdR1	N	Force	Steering	Rack load from tierod R1	Tierod R1 rack load
F_TRdR2	N	Force	Steering	Rack load from tierod R2	Tierod R2 rack load
F_TRdR3	N	Force	Steering	Rack load from tierod R3	Tierod R3 rack load
F_TRdR4	N	Force	Steering	Rack load from tierod R4	Tierod R4 rack load
GammaL1i	deg	Angle	Tires	Inclination angle, tire L1i	Tire L1i inclination
GammaL1o	deg	Angle	Tires	Inclination angle, tire L1o	Tire L1o inclination
GammaL2i	deg	Angle	Tires	Inclination angle, tire L2i	Tire L2i inclination
GammaL2o	deg	Angle	Tires	Inclination angle, tire L2o	Tire L2o inclination
GammaL3i	deg	Angle	Tires	Inclination angle, tire L3i	Tire L3i inclination
GammaL3o	deg	Angle	Tires	Inclination angle, tire L3o	Tire L3o inclination
GammaL4i	deg	Angle	Tires	Inclination angle, tire L4i	Tire L4i inclination
GammaL4o	deg	Angle	Tires	Inclination angle, tire L4o	Tire L4o inclination
GammaR1i	deg	Angle	Tires	Inclination angle, tire R1i	Tire R1i inclination
GammaR1o	deg	Angle	Tires	Inclination angle, tire R1o	Tire R1o inclination
GammaR2i	deg	Angle	Tires	Inclination angle, tire R2i	Tire R2i inclination
GammaR2o	deg	Angle	Tires	Inclination angle, tire R2o	Tire R2o inclination
GammaR3i	deg	Angle	Tires	Inclination angle, tire R3i	Tire R3i inclination
GammaR3o	deg	Angle	Tires	Inclination angle, tire R3o	Tire R3o inclination
GammaR4i	deg	Angle	Tires	Inclination angle, tire R4i	Tire R4i inclination
GammaR4o	deg	Angle	Tires	Inclination angle, tire R4o	Tire R4o inclination
GearStat	-	Gear	Powertrain	Transmission gear status	Transmission gear status
Gear_CL	-	Gear	Powertrain	Closed-loop transmission gear	Closed-loop transmission gear
Gear_Del	-	Gear	Powertrain	Delayed transmission gear status	Delayed transmission gear status
Gear_OL	-	Gear	Powertrain	Open-loop transmission gear	Open-loop transmission gear
GPSlongA	deg	GPS longitude	Chassis motion	GPS absolute longitude	Vehicle
GPS_Lat	deg	GPS latitude	Chassis motion	GPS relative latitude	Vehicle
GPS_LatA	deg	GPS latitude	Chassis motion	GPS absolute latitude	Vehicle
GPS_Long	deg	GPS longitude	Chassis motion	GPS relative longitude	Vehicle
Hcg_TM	mm	Height (local Z coordinate)	Chassis motion	Height, inst. CG, unit 1	Instant CG, unit 1
Hcg_TM_2	mm	Height (local Z coordinate)	Chassis motion	Height, inst. CG, unit 2	Instant CG, unit 2
HeadO_1	deg	Heading angle	Targets	Heading angle, moving object 1	Moving object 1
HeadO_10	deg	Heading angle	Targets	Heading angle, moving object 10	Moving object 10
HeadO_2	deg	Heading angle	Targets	Heading angle, moving object 2	Moving object 2
HeadO_3	deg	Heading angle	Targets	Heading angle, moving object 3	Moving object 3
HeadO_4	deg	Heading angle	Targets	Heading angle, moving object 4	Moving object 4
HeadO_5	deg	Heading angle	Targets	Heading angle, moving object 5	Moving object 5
HeadO_6	deg	Heading angle	Targets	Heading angle, moving object 6	Moving object 6
HeadO_7	deg	Heading angle	Targets	Heading angle, moving object 7	Moving object 7
HeadO_8	deg	Heading angle	Targets	Heading angle, moving object 8	Moving object 8
HeadO_9	deg	Heading angle	Targets	Heading angle, moving object 9	Moving object 9
ID_Event	-	ID number	Database	ID number of event	ID of event
ID_Run	-	ID number	Database	ID number of run	ID of run
Ispin_Tr	kg-m2	inertia	Powertrain	Transmission spin inertia	Transmission spin inertia
Iw_Dr_L1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L1	Drive wheel L1
Iw_Dr_L2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L2	Drive wheel L2
Iw_Dr_L3	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L3	Drive wheel L3
Iw_Dr_R1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R1	Drive wheel R1
Iw_Dr_R2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R2	Drive wheel R2
Iw_Dr_R3	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R3	Drive wheel R3
JncA_A1	g	Compression acceleration	Axles	Axle 1 jounce acceleration	Axle 1 jounce
JncA_A2	g	Compression acceleration	Axles	Axle 2 jounce acceleration	Axle 2 jounce
JncA_A3	g	Compression acceleration	Axles	Axle 3 jounce acceleration	Axle 3 jounce
JncA_A4	g	Compression acceleration	Axles	Axle 4 jounce acceleration	Axle 4 jounce
JncR_A1	mm/s	Compression rate	Axles	Axle 1 jounce rate	Axle 1 jounce
JncR_A2	mm/s	Compression rate	Axles	Axle 2 jounce rate	Axle 2 jounce
JncR_A3	mm/s	Compression rate	Axles	Axle 3 jounce rate	Axle 3 jounce
JncR_A4	mm/s	Compression rate	Axles	Axle 4 jounce rate	Axle 4 jounce
JncR_L1	mm/s	Compression rate	Suspensions	Wheel L1 jounce rate	Wheel L1 jounce
JncR_L2	mm/s	Compression rate	Suspensions	Wheel L2 jounce rate	Wheel L2 jounce
JncR_L3	mm/s	Compression rate	Suspensions	Wheel L3 jounce rate	Wheel L3 jounce
JncR_L4	mm/s	Compression rate	Suspensions	Wheel L4 jounce rate	Wheel L4 jounce
JncR_R1	mm/s	Compression rate	Suspensions	Wheel R1 jounce rate	Wheel R1 jounce
JncR_R2	mm/s	Compression rate	Suspensions	Wheel R2 jounce rate	Wheel R2 jounce
JncR_R3	mm/s	Compression rate	Suspensions	Wheel R3 jounce rate	Wheel R3 jounce
JncR_R4	mm/s	Compression rate	Suspensions	Wheel R4 jounce rate	Wheel R4 jounce
Jnc_L1	mm	Compression	Suspensions	Wheel L1 jounce (compression)	Wheel L1 jounce
Jnc_L2	mm	Compression	Suspensions	Wheel L2 jounce (compression)	Wheel L2 jounce
Jnc_L3	mm	Compression	Suspensions	Wheel L3 jounce (compression)	Wheel L3 jounce
Jnc_L4	mm	Compression	Suspensions	Wheel L4 jounce (compression)	Wheel L4 jounce
Jnc_R1	mm	Compression	Suspensions	Wheel R1 jounce (compression)	Wheel R1 jounce
Jnc_R2	mm	Compression	Suspensions	Wheel R2 jounce (compression)	Wheel R2 jounce
Jnc_R3	mm	Compression	Suspensions	Wheel R3 jounce (compression)	Wheel R3 jounce
Jnc_R4	mm	Compression	Suspensions	Wheel R4 jounce (compression)	Wheel R4 jounce
JounceA1	mm	Compression	Axles	Axle 1 jounce	Axle 1 jounce
JounceA2	mm	Compression	Axles	Axle 2 jounce	Axle 2 jounce
JounceA3	mm	Compression	Axles	Axle 3 jounce	Axle 3 jounce
JounceA4	mm	Compression	Axles	Axle 4 jounce	Axle 4 jounce
KappaL1i	-	Dimensionless ratio	Tires	Longitudinal slip, tire L1i	Tire L1i long. slip
KappaL1o	-	Dimensionless ratio	Tires	Longitudinal slip, tire L1o	Tire L1o long. slip
KappaL2i	-	Dimensionless ratio	Tires	Longitudinal slip, tire L2i	Tire L2i long. slip
KappaL2o	-	Dimensionless ratio	Tires	Longitudinal slip, tire L2o	Tire L2o long. slip
KappaL3i	-	Dimensionless ratio	Tires	Longitudinal slip, tire L3i	Tire L3i long. slip
KappaL3o	-	Dimensionless ratio	Tires	Longitudinal slip, tire L3o	Tire L3o long. slip
KappaL4i	-	Dimensionless ratio	Tires	Longitudinal slip, tire L4i	Tire L4i long. slip
KappaL4o	-	Dimensionless ratio	Tires	Longitudinal slip, tire L4o	Tire L4o long. slip
KappaR1i	-	Dimensionless ratio	Tires	Longitudinal slip, tire R1i	Tire R1i long. slip
KappaR1o	-	Dimensionless ratio	Tires	Longitudinal slip, tire R1o	Tire R1o long. slip
KappaR2i	-	Dimensionless ratio	Tires	Longitudinal slip, tire R2i	Tire R2i long. slip
KappaR2o	-	Dimensionless ratio	Tires	Longitudinal slip, tire R2o	Tire R2o long. slip
KappaR3i	-	Dimensionless ratio	Tires	Longitudinal slip, tire R3i	Tire R3i long. slip
KappaR3o	-	Dimensionless ratio	Tires	Longitudinal slip, tire R3o	Tire R3o long. slip
KappaR4i	-	Dimensionless ratio	Tires	Longitudinal slip, tire R4i	Tire R4i long. slip
KappaR4o	-	Dimensionless ratio	Tires	Longitudinal slip, tire R4o	Tire R4o long. slip
KappLL1i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L1i	Tire L1i long. slip (lagged)
KappLL1o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L1o	Tire L1o long. slip (lagged)
KappLL2i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L2i	Tire L2i long. slip (lagged)
KappLL2o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L2o	Tire L2o long. slip (lagged)
KappLL3i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L3i	Tire L3i long. slip (lagged)
KappLL3o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L3o	Tire L3o long. slip (lagged)
KappLL4i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L4i	Tire L4i long. slip (lagged)
KappLL4o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L4o	Tire L4o long. slip (lagged)
KappLR1i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R1i	Tire R1i long. slip (lagged)
KappLR1o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R1o	Tire R1o long. slip (lagged)
KappLR2i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R2i	Tire R2i long. slip (lagged)
KappLR2o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R2o	Tire R2o long. slip (lagged)
KappLR3i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R3i	Tire R3i long. slip (lagged)
KappLR3o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R3o	Tire R3o long. slip (lagged)
KappLR4i	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R4i	Tire R4i long. slip (lagged)
KappLR4o	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R4o	Tire R4o long. slip (lagged)
K_TC	Kinv	Inverse capacity	Powertrain	TC inverse capacity	Torque converter
LatO_1	m	Lateral offset	Targets	Lateral offset, moving object 1	Moving object 1
LatO_10	m	Lateral offset	Targets	Lateral offset, moving object 10	Moving object 10
LatO_2	m	Lateral offset	Targets	Lateral offset, moving object 2	Moving object 2
LatO_3	m	Lateral offset	Targets	Lateral offset, moving object 3	Moving object 3
LatO_4	m	Lateral offset	Targets	Lateral offset, moving object 4	Moving object 4
LatO_5	m	Lateral offset	Targets	Lateral offset, moving object 5	Moving object 5
LatO_6	m	Lateral offset	Targets	Lateral offset, moving object 6	Moving object 6
LatO_7	m	Lateral offset	Targets	Lateral offset, moving object 7	Moving object 7
LatO_8	m	Lateral offset	Targets	Lateral offset, moving object 8	Moving object 8
LatO_9	m	Lateral offset	Targets	Lateral offset, moving object 9	Moving object 9
Lat_Targ	m	Lateral distance to path	Driver model path	Target lateral offset from path	Target
Lat_Veh	m	Lateral distance to path	Driver model path	Vehicle lateral distance to path	Vehicle
LxcgTM	mm	Lx distance (local -X coord.)	Chassis motion	Lx distance to inst. CG, unit 1	Instant CG, unit 1
LxcgTM_2	mm	Lx distance (local -X coord.)	Chassis motion	Lx distance to inst. CG, unit 2	Instant CG, unit 2
Mfuel	kg	Fuel consumed	Powertrain	Mass of fuel consumed	Fuel
ModeTran	-	Transmission control mode	Powertrain	Transmission control mode	Transmission control mode
MuX_L1i	-	Friction coefficient	Ground and road	Ground X friction, tire L1i	Tire/Ground MuX L1i
MuX_L1o	-	Friction coefficient	Ground and road	Ground X friction, tire L1o	Tire/Ground MuX L1o
MuX_L2i	-	Friction coefficient	Ground and road	Ground X friction, tire L2i	Tire/Ground MuX L2i
MuX_L2o	-	Friction coefficient	Ground and road	Ground X friction, tire L2o	Tire/Ground MuX L2o
MuX_L3i	-	Friction coefficient	Ground and road	Ground X friction, tire L3i	Tire/Ground MuX L3i
MuX_L3o	-	Friction coefficient	Ground and road	Ground X friction, tire L3o	Tire/Ground MuX L3o
MuX_L4i	-	Friction coefficient	Ground and road	Ground X friction, tire L4i	Tire/Ground MuX L4i
MuX_L4o	-	Friction coefficient	Ground and road	Ground X friction, tire L4o	Tire/Ground MuX L4o
MuX_R1i	-	Friction coefficient	Ground and road	Ground X friction, tire R1i	Tire/Ground MuX R1i
MuX_R1o	-	Friction coefficient	Ground and road	Ground X friction, tire R1o	Tire/Ground MuX R1o
MuX_R2i	-	Friction coefficient	Ground and road	Ground X friction, tire R2i	Tire/Ground MuX R2i
MuX_R2o	-	Friction coefficient	Ground and road	Ground X friction, tire R2o	Tire/Ground MuX R2o
MuX_R3i	-	Friction coefficient	Ground and road	Ground X friction, tire R3i	Tire/Ground MuX R3i
MuX_R3o	-	Friction coefficient	Ground and road	Ground X friction, tire R3o	Tire/Ground MuX R3o
MuX_R4i	-	Friction coefficient	Ground and road	Ground X friction, tire R4i	Tire/Ground MuX R4i
MuX_R4o	-	Friction coefficient	Ground and road	Ground X friction, tire R4o	Tire/Ground MuX R4o
MuY_L1i	-	Friction coefficient	Ground and road	Ground Y friction, tire L1i	Tire/Ground MuY L1i
MuY_L1o	-	Friction coefficient	Ground and road	Ground Y friction, tire L1o	Tire/Ground MuY L1o
MuY_L2i	-	Friction coefficient	Ground and road	Ground Y friction, tire L2i	Tire/Ground MuY L2i
