 Keyword	Units	Type	Component	Legend Label
Mx_L1	N-m	Moment	Tires	Overturning moment, tire L1	Tire L1 overturning
Mx_L2	N-m	Moment	Tires	Overturning moment, tire L2	Tire L2 overturning
Mx_R1	N-m	Moment	Tires	Overturning moment, tire R1	Tire R1 overturning
Mx_R2	N-m	Moment	Tires	Overturning moment, tire R2	Tire R2 overturning
Mx_WC_L1	N-m	Moment	Wheels	Tire Mx at wheel center L1	Tire Mx at wheel center L1
Mx_WC_L2	N-m	Moment	Wheels	Tire Mx at wheel center L2	Tire Mx at wheel center L2
Mx_WC_R1	N-m	Moment	Wheels	Tire Mx at wheel center R1	Tire Mx at wheel center R1
Mx_WC_R2	N-m	Moment	Wheels	Tire Mx at wheel center R2	Tire Mx at wheel center R2
MyExL1	N-m	Moment	External actions	External My, L1	Wheel L1
MyExL2	N-m	Moment	External actions	External My, L2	Wheel L2
MyExR1	N-m	Moment	External actions	External My, R1	Wheel R1
MyExR2	N-m	Moment	External actions	External My, R2	Wheel R2
MyGExL1	N-m	Moment	External actions	External MyG, L1	Wheel L1
MyGExL2	N-m	Moment	External actions	External MyG, L2	Wheel L2
MyGExR1	N-m	Moment	External actions	External MyG, R1	Wheel R1
MyGExR2	N-m	Moment	External actions	External MyG, R2	Wheel R2
MYGEXT	N-m	Moment	External actions	External MyG 	Sprung mass
MyRR_L1	N-m	Moment	Tires	Rolling resist moment, tire L1	Tire L1 rolling resistance
MyRR_L2	N-m	Moment	Tires	Rolling resist moment, tire L2	Tire L2 rolling resistance
MyRR_R1	N-m	Moment	Tires	Rolling resist moment, tire R1	Tire R1 rolling resistance
MyRR_R2	N-m	Moment	Tires	Rolling resist moment, tire R2	Tire R2 rolling resistance
My_Air	N-m	Moment	Aerodynamics	Aero My, vehicle	Aero My, vehicle
My_Bk_L1	N-m	Moment	Brakes	Brake moment L1	Brake My L1
My_Bk_L2	N-m	Moment	Brakes	Brake moment L2	Brake My L2
My_Bk_R1	N-m	Moment	Brakes	Brake moment R1	Brake My R1
My_Bk_R2	N-m	Moment	Brakes	Brake moment R2	Brake My R2
My_Dr_L1	N-m	Moment	Powertrain	Total drive moment for wheel L1	Drive wheel L1
My_Dr_L2	N-m	Moment	Powertrain	Total drive moment for wheel L2	Drive wheel L2
My_Dr_R1	N-m	Moment	Powertrain	Total drive moment for wheel R1	Drive wheel R1
My_Dr_R2	N-m	Moment	Powertrain	Total drive moment for wheel R2	Drive wheel R2
MY_EXT	N-m	Moment	External actions	External My 	Sprung mass
My_US_L1	N-m	Moment	Wheels	Ext moment on whl from usm L1	Wheel L1
My_US_L2	N-m	Moment	Wheels	Ext moment on whl from usm L2	Wheel L2
My_US_R1	N-m	Moment	Wheels	Ext moment on whl from usm R1	Wheel R1
My_US_R2	N-m	Moment	Wheels	Ext moment on whl from usm R2	Wheel R2
My_WC_L1	N-m	Moment	Wheels	Tire My at wheel center L1	Tire My at wheel center L1
My_WC_L2	N-m	Moment	Wheels	Tire My at wheel center L2	Tire My at wheel center L2
My_WC_R1	N-m	Moment	Wheels	Tire My at wheel center R1	Tire My at wheel center R1
My_WC_R2	N-m	Moment	Wheels	Tire My at wheel center R2	Tire My at wheel center R2
MzExL1	N-m	Moment	External actions	External Mz, L1	Wheel L1
MzExL2	N-m	Moment	External actions	External Mz, L2	Wheel L2
MzExR1	N-m	Moment	External actions	External Mz, R1	Wheel R1
MzExR2	N-m	Moment	External actions	External Mz, R2	Wheel R2
MzGExL1	N-m	Moment	External actions	External MzG, L1	Wheel L1
MzGExL2	N-m	Moment	External actions	External MzG, L2	Wheel L2
MzGExR1	N-m	Moment	External actions	External MzG, R1	Wheel R1
MzGExR2	N-m	Moment	External actions	External MzG, R2	Wheel R2
MZGEXT	N-m	Moment	External actions	External MzG 	Sprung mass
Mz_Air	N-m	Moment	Aerodynamics	Aero Mz, vehicle	Aero Mz, vehicle
MZ_EXT	N-m	Moment	External actions	External Mz 	Sprung mass
Mz_KP_L1	N-m	Moment	Steering	Steer moment about kingpin L1	Kingpin L1 steer moment
Mz_KP_L2	N-m	Moment	Steering	Steer moment about kingpin L2	Kingpin L2 steer moment
Mz_KP_R1	N-m	Moment	Steering	Steer moment about kingpin R1	Kingpin R1 steer moment
Mz_KP_R2	N-m	Moment	Steering	Steer moment about kingpin R2	Kingpin R2 steer moment
Mz_L1	N-m	Moment	Tires	Aligning moment, tire L1	Tire L1 aligning
Mz_L2	N-m	Moment	Tires	Aligning moment, tire L2	Tire L2 aligning
Mz_R1	N-m	Moment	Tires	Aligning moment, tire R1	Tire R1 aligning
Mz_R2	N-m	Moment	Tires	Aligning moment, tire R2	Tire R2 aligning
Mz_WC_L1	N-m	Moment	Wheels	Tire Mz at wheel center L1	Tire Mz at wheel center L1
Mz_WC_L2	N-m	Moment	Wheels	Tire Mz at wheel center L2	Tire Mz at wheel center L2
Mz_WC_R1	N-m	Moment	Wheels	Tire Mz at wheel center R1	Tire Mz at wheel center R1
Mz_WC_R2	N-m	Moment	Wheels	Tire Mz at wheel center R2	Tire Mz at wheel center R2
M_boost	N-m	Torque	Steering	Steering boost torque	Power steering
M_Clutch	N-m	Torque	Powertrain	Torq. trans. device clutch torq.	Torque transfer device clutch
M_Cl_Cap	N-m	Torque	Powertrain	Max. main clutch torque capacity	Torque transfer device clutch
M_ColHys	N-m	Torque	Steering	Steering col. hysteresis torque	Steering
M_ColVis	N-m	Torque	Steering	Steering column damping torque	Steering
M_D1visc	N-m	Torque	Powertrain	Front diff. viscous torque	Front diff. viscous coupling
M_D1_Cl	N-m	Torque	Powertrain	Front differential clutch torque	Front differential clutch
M_D1_Cl2	N-m	Torque	Powertrain	Front diff. 2nd clutch torque	Front diff. second clutch
M_D2visc	N-m	Torque	Powertrain	Rear diff. viscous torque	Rear diff. viscous coupling
M_D2_Cl	N-m	Torque	Powertrain	Rear differential clutch torque	Rear differential clutch
M_D2_Cl2	N-m	Torque	Powertrain	Rear diff. 2nd clutch torque	Rear diff. second clutch
M_D3f	N-m	Torque	Powertrain	Transfer case front shaft torque	Transfer case front output shaft
M_D3r	N-m	Torque	Powertrain	Transfer case rear shaft torque	Transfer case rear output shaft
M_D3visc	N-m	Torque	Powertrain	Transfer case viscous torque	Transfer case viscous coupling
M_D3_Cl	N-m	Torque	Powertrain	Transfer case clutch torque	Transfer case clutch
M_D3_Cl2	N-m	Torque	Powertrain	Transfer case 2nd clutch torque	Transfer case second clutch
M_EngEsc	N-m	Torque	Powertrain	ESC requesting engine torque	ESC requesting for engine
M_EngOut	N-m	Torque	Powertrain	Engine crankshaft output torque	Engine crankshaft output
M_Eng_In	N-m	Torque	Powertrain	Engine crankshaft input torque	Engine crankshaft input
M_Eng_Rq	N-m	Torque	Powertrain	Driver requesting engine torque	Driver requesting for engine
M_L1_Cl	N-m	Torque	Powertrain	Front left whl. clutch torque	Front left wheel clutch
M_L2_Cl	N-m	Torque	Powertrain	Rear left whl. clutch torque	Rear left wheel clutch
M_R1_Cl	N-m	Torque	Powertrain	Front right whl. clutch torque	Front right wheel clutch
M_R2_Cl	N-m	Torque	Powertrain	Rear right whl. clutch torque	Rear right wheel clutch
M_SW	N-m	Torque	Steering	Steering wheel torque	Steering wheel
M_Tbar	N-m	Torque	Steering	Steering torsion bar torque	Steering
M_TC	N-m	Torque	Powertrain	Trans input shaft torque	Transmission input shaft
M_Trans	N-m	Torque	Powertrain	Trans. output shaft torque	Transmission output shaft
M_TRdL1	N-m	Moment	Steering	Steer gear moment from tierod L1	Pitman arm L1 torque
M_TRdL2	N-m	Moment	Steering	Steer gear moment from tierod L2	Pitman arm L2 torque
M_TRdR1	N-m	Moment	Steering	Steer gear moment from tierod R1	Pitman arm R1 torque
M_TRdR2	N-m	Moment	Steering	Steer gear moment from tierod R2	Pitman arm R2 torque
PbkCh_L1	MPa	Pressure	Brakes	Brake actuator pressure L1	Brake actuator pressure L1
PbkCh_L2	MPa	Pressure	Brakes	Brake actuator pressure L2	Brake actuator pressure L2
PbkCh_R1	MPa	Pressure	Brakes	Brake actuator pressure R1	Brake actuator pressure R1
PbkCh_R2	MPa	Pressure	Brakes	Brake actuator pressure R2	Brake actuator pressure R2
PbkD_L1	MPa	Pressure	Brakes	Delivery pressure, brake L1	Delivery pressure L1
PbkD_L2	MPa	Pressure	Brakes	Delivery pressure, brake L2	Delivery pressure L2
PbkD_R1	MPa	Pressure	Brakes	Delivery pressure, brake R1	Delivery pressure R1
PbkD_R2	MPa	Pressure	Brakes	Delivery pressure, brake R2	Delivery pressure R2
Pbk_Con	MPa	Pressure	Brakes	Brake control input (M/C)	Brake master cylinder
Pctl_L1	MPa	Pressure	Brakes	Pressure from controller L1	Control pressure L1
Pctl_L2	MPa	Pressure	Brakes	Pressure from controller L2	Control pressure L2
Pctl_R1	MPa	Pressure	Brakes	Pressure from controller R1	Control pressure R1
Pctl_R2	MPa	Pressure	Brakes	Pressure from controller R2	Control pressure R2
Pitch	deg	Angle	Chassis motion	Pitch, vehicle	Vehicle pitch
PitchGL1	deg	Angle	Ground and road	Pitch at ground, wheel L1	Pitch at ground, wheel L1
PitchGL2	deg	Angle	Ground and road	Pitch at ground, wheel L2	Pitch at ground, wheel L2
PitchGR1	deg	Angle	Ground and road	Pitch at ground, wheel R1	Pitch at ground, wheel R1
PitchGR2	deg	Angle	Ground and road	Pitch at ground, wheel R2	Pitch at ground, wheel R2
PitchO1	deg	Pitch angle	Targets	Pitch angle of moving object 1	Moving object 1
PitchO10	deg	Pitch angle	Targets	Pitch angle of moving object 10	Moving object 10
PitchO2	deg	Pitch angle	Targets	Pitch angle of moving object 2	Moving object 2
PitchO3	deg	Pitch angle	Targets	Pitch angle of moving object 3	Moving object 3
PitchO4	deg	Pitch angle	Targets	Pitch angle of moving object 4	Moving object 4
PitchO5	deg	Pitch angle	Targets	Pitch angle of moving object 5	Moving object 5
PitchO6	deg	Pitch angle	Targets	Pitch angle of moving object 6	Moving object 6
PitchO7	deg	Pitch angle	Targets	Pitch angle of moving object 7	Moving object 7
PitchO8	deg	Pitch angle	Targets	Pitch angle of moving object 8	Moving object 8
PitchO9	deg	Pitch angle	Targets	Pitch angle of moving object 9	Moving object 9
PitchRd	deg	Angle	Chassis motion	Vehicle pitch rel. to road ref	Vehicle pitch
Pitch_L1	deg	Angle	Wheels	Pitch, wheel L1	Pitch, wheel L1
Pitch_L2	deg	Angle	Wheels	Pitch, wheel L2	Pitch, wheel L2
Pitch_R1	deg	Angle	Wheels	Pitch, wheel R1	Pitch, wheel R1
Pitch_R2	deg	Angle	Wheels	Pitch, wheel R2	Pitch, wheel R2
PtchPath	deg	Angle	Driver model path	Pitch at ground on driver path	Ground at driver path
PtchShad	deg	Angle	Ground and road	Pitch angle of vehicle shadow 1	Road reference frame 1
PwrEngAv	kW	Power	Powertrain	Engine available power	Engine available
PwrEngIn	kW	Power	Powertrain	Engine crankshaft input power	Engine crankshaft input
PwrEngO	kW	Power	Powertrain	Engine crankshaft output power	Engine crankshaft output
PwrTrans	kW	Power	Powertrain	Transmission output shaft power	Transmission output shaft
PwrWheel	kW	Power	Powertrain	Power to wheels from powertrain	Drive wheels
Pwr_SC	kW	Power	Speed controller	Power from speed control (no PT)	Speed controller (no powertrain)
Pwr_SCrq	kW	Power	Driver model	Power requested from speed ctrl	Speed controller requested power
Pwr_TC	kW	Power	Powertrain	Trans input shaft power	Transmission input shaft
Qfuel	kg/s	Fuel rate	Powertrain	Fuel rate	Fuel
RdID_L1	-	Road ID Number	Tires	Road ID for tire L1	Tire L1
RdID_L2	-	Road ID Number	Tires	Road ID for tire L2	Tire L2
RdID_R1	-	Road ID Number	Tires	Road ID for tire R1	Tire R1
RdID_R2	-	Road ID Number	Tires	Road ID for tire R2	Tire R2
RgearDLT	-	Dimensionless ratio	Powertrain	Driveline total gear ratio	Driveline total gear
Rgear_Tr	-	Dimensionless ratio	Powertrain	Transmission gear ratio	Transmission gear
RhoPathY	1/m	Curvature	Driver model path	Curvature of path (road lateral)	Driver path (road lateral)
RhoPathZ	1/m	Curvature	Driver model path	Curvature of path (road normal)	Driver path (road normal)
Rho_Road	1/m	Curvature	Driver model path	Curvature of road X-Y ref. path	Driver reference path
RolA_A1r	deg/s2	Angular acceleration	Axles	Axle 1 relative roll acc.	Axle 1 relative roll
RolA_A2r	deg/s2	Angular acceleration	Axles	Axle 2 relative roll acc.	Axle 2 relative roll
Roll	deg	Angle	Chassis motion	Roll, vehicle	Vehicle roll
RollGL1	deg	Angle	Ground and road	Roll at ground, wheel L1	Roll at ground, wheel L1
RollGL2	deg	Angle	Ground and road	Roll at ground, wheel L2	Roll at ground, wheel L2
RollGR1	deg	Angle	Ground and road	Roll at ground, wheel R1	Roll at ground, wheel R1
RollGR2	deg	Angle	Ground and road	Roll at ground, wheel R2	Roll at ground, wheel R2
RollO_1	deg	Roll angle	Targets	Roll angle of moving object 1	Moving object 1
RollO_10	deg	Roll angle	Targets	Roll angle of moving object 10	Moving object 10
RollO_2	deg	Roll angle	Targets	Roll angle of moving object 2	Moving object 2
RollO_3	deg	Roll angle	Targets	Roll angle of moving object 3	Moving object 3
RollO_4	deg	Roll angle	Targets	Roll angle of moving object 4	Moving object 4
RollO_5	deg	Roll angle	Targets	Roll angle of moving object 5	Moving object 5
RollO_6	deg	Roll angle	Targets	Roll angle of moving object 6	Moving object 6
RollO_7	deg	Roll angle	Targets	Roll angle of moving object 7	Moving object 7
RollO_8	deg	Roll angle	Targets	Roll angle of moving object 8	Moving object 8
RollO_9	deg	Roll angle	Targets	Roll angle of moving object 9	Moving object 9
RollPath	deg	Angle	Driver model path	Roll at ground on driver path	Ground at driver path
RollShad	deg	Angle	Ground and road	Roll angle of vehicle shadow 1	Road reference frame 1
Roll_A1r	deg	Angle	Axles	Axle 1 relative roll	Axle 1 relative roll
Roll_A2r	deg	Angle	Axles	Axle 2 relative roll	Axle 2 relative roll
Roll_E	deg	Angle	Chassis motion	Roll (Euler), vehicle	Vehicle roll (Euler), 
Roll_L1	deg	Angle	Wheels	Roll (Euler), wheel L1	Roll (Euler), wheel L1
Roll_L2	deg	Angle	Wheels	Roll (Euler), wheel L2	Roll (Euler), wheel L2
Roll_R1	deg	Angle	Wheels	Roll (Euler), wheel R1	Roll (Euler), wheel R1
Roll_R2	deg	Angle	Wheels	Roll (Euler), wheel R2	Roll (Euler), wheel R2
Roll_Rd	deg	Angle	Chassis motion	Vehicle roll rel. to road ref	Vehicle roll
RolR_A1r	deg/s	Angular rate	Axles	Axle 1 relative roll rate	Axle 1 relative roll
RolR_A2r	deg/s	Angular rate	Axles	Axle 2 relative roll rate	Axle 2 relative roll
RotTrans	rev	Rotation	Powertrain	Trans. output shaft rotation	Transmission output shaft
Rot_D3f	rev	Rotation	Powertrain	Trans case front shaft rotation	Transfer case front output shaft
Rot_D3r	rev	Rotation	Powertrain	Trans case rear shaft rotation	Transfer case rear output shaft
Rot_Eng	rev	Rotation	Powertrain	Engine crankshaft rotation	Engine crankshaft
Rot_L1	rev	Rotation	Wheels	Wheel L1 rotation	wheel L1
Rot_L2	rev	Rotation	Wheels	Wheel L2 rotation	wheel L2
Rot_R1	rev	Rotation	Wheels	Wheel R1 rotation	wheel R1
Rot_R2	rev	Rotation	Wheels	Wheel R2 rotation	wheel R2
Rot_TC	rev	Rotation	Powertrain	Trans input shaft rotation	Transmission input shaft
R_AV_TC	-	Dimensionless ratio	Powertrain	TC output/input speed ratio	TC output/input speed
R_M_TC	-	Dimensionless ratio	Powertrain	TC out./input shaft torque ratio	TC output/input shaft torque
Station	m	Longitudinal distance	Driver model path	Station (path) at vehicle origin	Path station at vehicle origin
Sta_Prof	m	Longitudinal distance	Ground and road	Station for road profiles	Road profile station
Sta_Road	m	Longitudinal distance	Ground and road	Station (road) at vehicle origin	Road station at vehicle origin
Steer_DM	deg	Angle	Steering	Steer angle from driver	Steering wheel
Steer_L1	deg	Angle	Steering	Wheel steer L1	Wheel steer L1
Steer_L2	deg	Angle	Steering	Wheel steer L2	Wheel steer L2
Steer_R1	deg	Angle	Steering	Wheel steer R1	Wheel steer R1
Steer_R2	deg	Angle	Steering	Wheel steer R2	Wheel steer R2
Steer_SW	deg	Angle	Steering	Steering wheel angle	Steering wheel
StrAV_SW	deg/s	Angular rate	Steering	Steering wheel angular rate	Steering wheel
StrC_L1	deg	Angle	Steering	Compliance steer, wheel L1	Wheel L1 compliance steer
StrC_L2	deg	Angle	Steering	Compliance steer, wheel L2	Wheel L2 compliance steer
StrC_R1	deg	Angle	Steering	Compliance steer, wheel R1	Wheel R1 compliance steer
StrC_R2	deg	Angle	Steering	Compliance steer, wheel R2	Wheel R2 compliance steer
StrKp_L1	deg	Angle	Steering	Steer angle about kingpin L1	Kingpin L1 steer angle
StrKp_L2	deg	Angle	Steering	Steer angle about kingpin L2	Kingpin L2 steer angle
StrKp_R1	deg	Angle	Steering	Steer angle about kingpin R1	Kingpin R1 steer angle
StrKp_R2	deg	Angle	Steering	Steer angle about kingpin R2	Kingpin R2 steer angle
StrK_L1	deg	Angle	Steering	Kinematic steer, wheel L1	Wheel L1 kinematic steer
StrK_L2	deg	Angle	Steering	Kinematic steer, wheel L2	Wheel L2 kinematic steer
StrK_R1	deg	Angle	Steering	Kinematic steer, wheel R1	Wheel R1 kinematic steer
StrK_R2	deg	Angle	Steering	Kinematic steer, wheel R2	Wheel R2 kinematic steer
StrSWr_1	deg	Angle	Steering	SW angle reduced for axle 1	SW angle reduced for axle 1
StrSWr_2	deg	Angle	Steering	SW angle reduced for axle 2	SW angle reduced for axle 2
S_Obj_1	m	Station	Targets	Station of moving object 1	Moving object 1
S_Obj_10	m	Station	Targets	Station of moving object 10	Moving object 10
S_Obj_2	m	Station	Targets	Station of moving object 2	Moving object 2
S_Obj_3	m	Station	Targets	Station of moving object 3	Moving object 3
S_Obj_4	m	Station	Targets	Station of moving object 4	Moving object 4
S_Obj_5	m	Station	Targets	Station of moving object 5	Moving object 5
S_Obj_6	m	Station	Targets	Station of moving object 6	Moving object 6
S_Obj_7	m	Station	Targets	Station of moving object 7	Moving object 7
S_Obj_8	m	Station	Targets	Station of moving object 8	Moving object 8
S_Obj_9	m	Station	Targets	Station of moving object 9	Moving object 9
S_RdO_1	m	S_Rd	Targets	S_Rd of moving object 1	Moving object 1
S_RdO_10	m	S_Rd	Targets	S_Rd of moving object 10	Moving object 10
S_RdO_2	m	S_Rd	Targets	S_Rd of moving object 2	Moving object 2
S_RdO_3	m	S_Rd	Targets	S_Rd of moving object 3	Moving object 3
S_RdO_4	m	S_Rd	Targets	S_Rd of moving object 4	Moving object 4
S_RdO_5	m	S_Rd	Targets	S_Rd of moving object 5	Moving object 5
S_RdO_6	m	S_Rd	Targets	S_Rd of moving object 6	Moving object 6
S_RdO_7	m	S_Rd	Targets	S_Rd of moving object 7	Moving object 7
S_RdO_8	m	S_Rd	Targets	S_Rd of moving object 8	Moving object 8
S_RdO_9	m	S_Rd	Targets	S_Rd of moving object 9	Moving object 9
S_Rd_L1	m	Road Station	Tires	Road station for tire L1	Tire L1
S_Rd_L2	m	Road Station	Tires	Road station for tire L2	Tire L2
S_Rd_R1	m	Road Station	Tires	Road station for tire R1	Tire R1
S_Rd_R2	m	Road Station	Tires	Road station for tire R2	Tire R2
TC_Lock	-	Boolean	Powertrain	Torque converter lockup signal	Torque converter lockup clutch
Throttle	-	Dimensionless ratio	Powertrain	Normalized throttle at Pedal	Pedal
Thrtl_SC	-	Dimensionless ratio	Powertrain	Throttle (speed controller)	Pedal (speed controller)
Thr_Eng	-	Dimensionless ratio	Powertrain	Normalized throttle at Engine	Engine
Thr_Intl	-	Dimensionless ratio	Powertrain	Normalized throttle (internal)	Pedal (internal)
TMLen_L1	m	TMLen_L1	VS Commands	Tire mark L1  length	TMLen_L1
TMLen_L2	m	TMLen_L2	VS Commands	Tire mark L2  length	TMLen_L2
TMLen_R1	m	TMLen_R1	VS Commands	Tire mark R1  length	TMLen_R1
TMLen_R2	m	TMLen_R2	VS Commands	Tire mark R2  length	TMLen_R2
TmTrl_L1	-	TmTrl_L1	VS Commands	; Tire mark L1  translucency	TmTrl_L1
TmTrl_L2	-	TmTrl_L2	VS Commands	; Tire mark L2  translucency	TmTrl_L2
TmTrl_R1	-	TmTrl_R1	VS Commands	; Tire mark R1  translucency	TmTrl_R1
TmTrl_R2	-	TmTrl_R2	VS Commands	; Tire mark R2  translucency	TmTrl_R2
T_Event	s	Time	Time	Time since event clock reset	Event
T_Record	s	Time	Time	Recording time in output file	Recording time in file
T_Rtr_L1	C	Temperature	Brakes	Brake rotor L1 temperature	Brake rotor L1
T_Rtr_L2	C	Temperature	Brakes	Brake rotor L2 temperature	Brake rotor L2
T_Rtr_R1	C	Temperature	Brakes	Brake rotor R1 temperature	Brake rotor R1
T_Rtr_R2	C	Temperature	Brakes	Brake rotor R2 temperature	Brake rotor R2
T_Stamp	s	Time	Time	Simulation time stamp	Simulation time stamp
Vair	km/h	Speed	Aerodynamics	Air speed relative to vehicle	Air speed relative to vehicle
Vbk_Tot	mm3	Volume	Brakes	Total brake corner volume	Brake system
VisO_1	-	Visibility	Targets	Visibility of moving object 1	Moving object 1
VisO_10	-	Visibility	Targets	Visibility of moving object 10	Moving object 10
VisO_2	-	Visibility	Targets	Visibility of moving object 2	Moving object 2
VisO_3	-	Visibility	Targets	Visibility of moving object 3	Moving object 3
VisO_4	-	Visibility	Targets	Visibility of moving object 4	Moving object 4
VisO_5	-	Visibility	Targets	Visibility of moving object 5	Moving object 5
VisO_6	-	Visibility	Targets	Visibility of moving object 6	Moving object 6
VisO_7	-	Visibility	Targets	Visibility of moving object 7	Moving object 7
VisO_8	-	Visibility	Targets	Visibility of moving object 8	Moving object 8
VisO_9	-	Visibility	Targets	Visibility of moving object 9	Moving object 9
VJStL1	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop L1	Jounce stop L1
VJStL2	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop L2	Jounce stop L2
VJStR1	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop R1	Jounce stop R1
VJStR2	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop R2	Jounce stop R2
VRStL1	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop L1	Rebound stop L1
VRStL2	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop L2	Rebound stop L2
VRStR1	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop R1	Rebound stop R1
VRStR2	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop R2	Rebound stop R2
Vwind	km/h	Speed	Aerodynamics	Wind speed	Wind
Vx	km/h	Longitudinal speed	Chassis motion	Longitudinal speed, vehicle	Vehicle total CG
VxCenL1	km/h	Longitudinal speed	Tires	Vx, center of tire contact L1	Center of tire contact L1
VxCenL2	km/h	Longitudinal speed	Tires	Vx, center of tire contact L2	Center of tire contact L2
VxCenR1	km/h	Longitudinal speed	Tires	Vx, center of tire contact R1	Center of tire contact R1
VxCenR2	km/h	Longitudinal speed	Tires	Vx, center of tire contact R2	Center of tire contact R2
VxNf_SM	km/h	Speed	Chassis motion	Global X speed, vehicle SM CG	Vehicle SM CG (global X)
VxTarget	km/h	Longitudinal speed	Speed controller	Target speed	Target speed
Vxz_Fwd	km/h	Longitudinal speed	Chassis motion	Longitudinal speed in XZ plane	Vehicle forward in XZ plane
Vx_Err	km/h	Longitudinal speed	Speed controller	Speed controller error	Controller error
Vx_IErr	m	Speed error integral	Speed controller	Integrated speed control error	Integrated speed error
Vx_L1	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel L1	Wheel L1 (equivalent)
Vx_L2	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel L2	Wheel L2 (equivalent)
Vx_R1	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel R1	Wheel R1 (equivalent)
Vx_R2	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel R2	Wheel R2 (equivalent)
Vx_Rd	km/h	Longitudinal speed	Chassis motion	Vehicle long. speed, road ref	Vehicle total CG
Vx_SM	km/h	Longitudinal speed	Chassis motion	Long. speed, vehicle SM CG	Vehicle SM CG
Vx_WC_L1	km/h	Longitudinal speed	Wheels	Vx at wheel center L1	Vx at wheel center L1
Vx_WC_L2	km/h	Longitudinal speed	Wheels	Vx at wheel center L2	Vx at wheel center L2
Vx_WC_R1	km/h	Longitudinal speed	Wheels	Vx at wheel center R1	Vx at wheel center R1
Vx_WC_R2	km/h	Longitudinal speed	Wheels	Vx at wheel center R2	Vx at wheel center R2
Vy	km/h	Lateral speed	Chassis motion	Lateral speed, vehicle	Vehicle total CG
VYaw_L1	deg	VYaw_L1	VS Commands	Tire mark L1 yaw	VYaw_L1
VYaw_L2	deg	VYaw_L2	VS Commands	Tire mark L2 yaw	VYaw_L2
VYaw_R1	deg	VYaw_R1	VS Commands	Tire mark R1 yaw	VYaw_R1
VYaw_R2	deg	VYaw_R2	VS Commands	Tire mark R2 yaw	VYaw_R2
VyNf_SM	km/h	Speed	Chassis motion	Global Y speed, vehicle SM CG	Vehicle SM CG (global Y)
VyTC_L1	km/h	Lateral speed	Tires	Vy, L1 center of tire contact	Center of tire contact L1
VyTC_L2	km/h	Lateral speed	Tires	Vy, L2 center of tire contact	Center of tire contact L2
VyTC_R1	km/h	Lateral speed	Tires	Vy, R1 center of tire contact	Center of tire contact R1
VyTC_R2	km/h	Lateral speed	Tires	Vy, R2 center of tire contact	Center of tire contact R2
Vy_Rack1	mm/s	Speed	Steering	Steering rack disp. rate, axle 1	Axle 1 steering
Vy_Rack2	mm/s	Speed	Steering	Steering rack disp. rate, axle 2	Axle 2 steering
Vy_Rd	km/h	Lateral speed	Chassis motion	Vehicle lat. speed, road ref	Vehicle total CG
Vy_SM	km/h	Lateral speed	Chassis motion	Lateral speed, vehicle SM CG	Vehicle SM CG
Vy_WC_L1	km/h	Lateral speed	Wheels	Vy at wheel center L1	Vy at wheel center L1
Vy_WC_L2	km/h	Lateral speed	Wheels	Vy at wheel center L2	Vy at wheel center L2
Vy_WC_R1	km/h	Lateral speed	Wheels	Vy at wheel center R1	Vy at wheel center R1
Vy_WC_R2	km/h	Lateral speed	Wheels	Vy at wheel center R2	Vy at wheel center R2
Vz	km/h	Vertical speed	Chassis motion	Vertical speed, vehicle	Vehicle total CG
Vz_Rd	km/h	Vertical speed	Chassis motion	Vehicle vert. speed, road ref	Vehicle total CG
Vz_SM	km/h	Vertical speed	Chassis motion	Vertical speed, vehicle SM CG	Vehicle SM CG
Vz_WC_L1	km/h	Vertical speed	Wheels	Vz at wheel center L1	Vz at wheel center L1
Vz_WC_L2	km/h	Vertical speed	Wheels	Vz at wheel center L2	Vz at wheel center L2
Vz_WC_R1	km/h	Vertical speed	Wheels	Vz at wheel center R1	Vz at wheel center R1
Vz_WC_R2	km/h	Vertical speed	Wheels	Vz at wheel center R2	Vz at wheel center R2
v_mod1	-	v_mod1	VS Commands	Audio control (power on)	v_mod1
v_mod2	-	v_mod2	VS Commands	Audio control (power off)	v_mod2
v_mod3	-	v_mod3	VS Commands	Audio control, wind speed, vol	v_mod3
v_mod4	-	v_mod4	VS Commands	Audio control, wind speed, freq	v_mod4
Xcg_SM	m	Global X coordinate	Chassis motion	X coordinate, CG, sprung mass	CG, sprung mass
Xcg_TM	m	Global X coordinate	Chassis motion	X coordinate, inst. CG, unit 1	Instant CG, vehicle
Xctc_L1	m	Global X coordinate	Tires	X coordinate, tire CTC L1	Center of tire contact L1
Xctc_L2	m	Global X coordinate	Tires	X coordinate, tire CTC L2	Center of tire contact L2
Xctc_R1	m	Global X coordinate	Tires	X coordinate, tire CTC R1	Center of tire contact R1
Xctc_R2	m	Global X coordinate	Tires	X coordinate, tire CTC R2	Center of tire contact R2
